code      , canonical_code, is_iso3, is_glottocode, Articles, Avggoodpagelength  , adjusted_wp_size       , article_count, avg_article_length , entropy           , ethnologue_population, glotto_mapped_iso, glottocode, jw_bible_available, median_article_length, mention_total, os_base_required       , real_ratio          , realtotalratio      , wals_family          , wals_genus                       , wp_incubator, wp_size_chars
pura1257  , iar           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , iar              , pura1257  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
iban1264  , iba           , True   , True         ,     1943, 5451.811495617554  ,    10557829.58665213   ,          1943, 5451.811495617554  , 5.285506998817708 , 1M to 1B             , iba              , iban1264  ,                  1,  3439.8373382565737  ,              ,                        , 0.8878023674729799  , 0.8878023674729799  , Austronesian         , Malayo-Sumbawan                  ,            1,    10557829.58665213
ibib1240  , ibb           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 1M to 1B             , ibb              , ibib1240  ,                   ,                      ,              ,                        ,                     ,                     , Niger-Congo          , Lower Cross                      ,            1,            
iwai1244  , ibd           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , ibd              , iwai1244  ,                   ,                      ,              ,                        ,                     ,                     , Iwaidjan             , Iwaidjan                         ,             ,            
ibe       , ibe           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            ,                  , akpe1248  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
ibg       , ibg           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            ,                  , iban1267  ,                   ,                      ,              ,                        ,                     ,                     , Austronesian         , Northern Luzon                   ,             ,            
ibh       , ibh           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , None                 ,                  , biha1246  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
ibil1238  , ibi           , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      , ibi              , ibil1238  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
ibl       , ibl           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            ,                  , ibal1244  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
ibm       , ibm           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , agoi1246  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
ibn       , ibn           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            ,                  , ibin1241  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
nucl1417  , ibo           , True   , True         ,    52622, 4852.070410215062  ,   254376692.3655714    ,         52622, 4852.070410215062  , 5.3888203472728735, 1M to 1B             , ibo              , nucl1417  ,                  1,  3228.5496265889765  ,             1,                        , 0.9046198285855457  , 0.9046198285855457  , Niger-Congo          , Igboid                           ,             ,   254376692.3655714
ibok1234  , ibok1234      , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      ,                  , ibok1234  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
ibuo1242  , ibr           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , ibr              , ibuo1242  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
