code,iso639_3,glottocode,AdjustedWPsize,Articles,WPincubatornew,WPsizeinchars,Realtotalratio,Avggoodpagelength,Population Size,Digital Support,has_glottolog,has_bible,win11_os_supported,tatoeba_sentences,has_wals,Ethnologue_Status,has_wiki
alw,alw,alab1254,,,0,,,,5,0,1,0,0,,0,2,0
alx,alx,amol1235,,,0,,,,3,0,1,0,0,,0,1,0
aly,aly,alya1239,,,0,,,,3,2,1,0,0,,1,1,0
alz,alz,alur1250,,,0,,,,7,2,1,0,0,,0,3,0
ama,ama,aman1266,,,0,,,,0,0,1,0,0,,0,1,0
amb,amb,ambo1249,,,0,,,,3,0,1,0,0,,0,1,0
amc,amc,amah1246,,,0,,,,3,1,1,0,0,,1,1,0
amd,amd,amap1241,,,,,,,,,1,0,0,,0,,0
ame,ame,yane1238,,,0,,,,3,2,1,0,0,,1,2,0
amf,amf,hame1242,,,0,,,,5,2,1,0,0,,1,2,0
amg,amg,amar1271,,,0,,,,0,0,1,0,0,,0,1,0
amh,amh,amha1245,7.011276,4.360802,0,7.011276,0.1999041436103002,2.732395,7,3,1,1,1,2.513217600067939,1,3,1
ami,ami,amis1246,6.898505,3.305566,0,6.898505,0.8545274616526473,3.594403,5,2,1,0,0,,1,1,1
amj,amj,amda1238,,,0,,,,5,1,1,0,0,,0,2,0
amk,amk,amba1265,,,0,,,,5,2,1,0,0,,1,1,0
aml,aml,warj1242,,,0,,,,5,0,1,0,0,,0,2,0
amm,amm,amap1240,,,0,,,,3,1,1,0,0,,1,2,0
amn,amn,aman1265,,,0,,,,3,1,1,0,0,,1,1,0
amo,amo,amoo1242,,,0,,,,5,0,1,0,0,,1,2,0
amp,amp,alam1246,,,0,,,,3,1,1,0,0,,1,1,0
amq,amq,amah1245,,,0,,,,0,0,1,0,0,,0,1,0
amr,amr,amar1274,,,0,,,,3,2,1,0,0,,1,1,0
ams,ams,sout2954,,,0,,,,3,1,1,0,0,,0,1,0
amt,amt,amto1250,,,0,,,,3,0,1,0,0,,0,2,0
amu,amu,guer1243,,,1,,,,5,2,1,0,0,,1,2,0
amv,amv,ambe1248,,,0,,,,3,0,1,0,0,,0,1,0
amw,amw,west2763,,,0,,,,5,1,1,0,0,,0,1,0
amx,amx,anma1239,,,0,,,,3,1,1,0,0,,0,2,0
amy,amy,amii1238,,,0,,,,0,0,1,0,0,,1,1,0
amz,amz,atam1239,,,0,,,,0,1,1,0,0,,0,0,0
ana,ana,anda1286,,,0,,,,0,1,1,0,0,,0,1,0
anb,anb,ando1255,,,0,,,,0,1,1,0,0,,0,0,0
anc,anc,ngas1240,,,0,,,,5,2,1,0,0,,1,2,0
and,and,ansu1237,,,0,,,,3,0,1,0,0,,0,1,0
ane,ane,xara1244,,,0,,,,3,1,1,0,0,,1,2,0
anf,anf,anim1239,,,0,,,,0,0,1,0,0,,0,1,0
ang,ang,olde1238,6.787914,3.983265,,6.787914,0.3428957488826525,2.845769,,,1,0,0,2.6074550232146687,0,,1
anh,anh,nend1239,,,0,,,,3,1,1,0,0,,1,1,0
ani,ani,andi1255,,,0,,,,5,1,1,0,0,,1,1,0
anj,anj,anor1241,,,0,,,,3,0,1,0,0,,0,2,0
