	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20	status	stable	status_best	stable_best
tse	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tsf	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tsg	s	v	v	s	v	s	v	s	v	s	v	v	h	s	v	v	v	v	v	h	borderline	-	borderline	-
tsh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tsi	s	h	s	s	s	s	h	s	s	s	s	h	s	h	h	s	s	s	h	s	dead	-	dead	-
tsj	s	v	v	s	v	s	v	s	v	s	v	v	h	s	v	v	v	v	v	s	borderline	-	borderline	-
tsk	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tsl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tsm	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
tsn	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
tso	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
tsp	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tsq	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
tsr	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tss	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tst	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tsu	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
tsv	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
tsw	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
tsx	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tsy	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tsz	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
tta	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ttb	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttc	s	h	s	s	s	s	h	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	-
ttd	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tte	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ttf	s	h	s	s	s	s	s	s	s	s	s	s	s	h	h	s	s	s	s	s	dead	-	dead	-
ttg	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tth	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tti	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ttj	s	v	s	s	s	s	v	s	s	s	v	s	tg	s	s	v	v	v	s	s	borderline	-	borderline	-
ttk	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttm	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
ttn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tto	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttp	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttr	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
tts	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttt	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttv	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttw	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ttx	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tty	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
ttz	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tua	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tub	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
tuc	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
tud	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tue	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
tuf	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
tug	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tuh	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
tui	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
tuj	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tuk	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
tul	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tum	v	s	v	v	v	v	s	v	v	v	s	v	v	v	v	s	s	s	v	v	borderline	-	borderline	-
tun	s	h	s	s	s	s	h	s	s	s	s	h	s	h	h	s	s	s	h	h	dead	-	dead	-
tuo	s	v	v	s	v	s	v	s	v	s	v	v	h	s	v	v	v	v	v	h	borderline	-	borderline	-
tuq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tur	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	living	tg	living	tg
tus	s	h	s	s	s	s	h	s	s	s	s	h	s	h	h	s	s	s	h	s	dead	-	dead	-
tuu	s	h	s	s	s	s	h	s	s	s	s	h	s	h	h	s	s	s	h	s	dead	-	dead	-
tuv	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	v	s	borderline	-	dead	s
tux	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tuy	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tuz	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tva	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tvd	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tve	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tvi	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tvk	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
tvl	v	v	v	s	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	borderline	-	living	v
tvm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tvn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tvo	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tvs	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tvt	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
tvu	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
tvw	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tvx	s	s	s	s	s	s	s	s	s	s	s	s	s	h	s	s	s	s	s	h	dead	-	dead	s
tvy	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
twa	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
twb	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
twc	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
twd	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twe	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
twf	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
twg	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twn	s	h	s	s	s	s	s	s	s	s	s	s	s	h	h	s	s	s	s	s	dead	-	dead	-
two	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twp	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twr	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twt	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twu	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
tww	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twx	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
twy	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
txa	s	h	s	s	s	s	s	s	s	s	s	s	s	h	h	s	s	s	s	s	dead	-	dead	-
txb	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
txc	s	h	s	s	s	s	s	s	s	s	s	s	s	h	h	s	s	s	s	s	dead	-	dead	-
txe	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
txg	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
txh	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
txi	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
txj	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
txm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
txn	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
txo	s	s	s	s	s	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	s
txq	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
txr	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
txs	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
txt	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
txu	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
txx	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
txy	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tya	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
tye	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tyh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tyi	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tyj	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
tyl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tyn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
typ	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
tyr	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tys	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tyt	h	s	s	h	s	s	s	h	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
tyu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tyv	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
tyx	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tyy	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
tyz	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tza	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
tzb	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tzc	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tze	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tzh	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
tzi	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tzj	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
tzl	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	dead	h	dead	h
tzm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tzn	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
tzo	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
tzs	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tzt	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tzu	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
tzx	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tzz	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
uam	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uan	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uar	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
uba	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ubi	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ubl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ubm	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ubr	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ubu	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
uby	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
uda	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ude	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
udg	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
udi	s	h	s	s	s	s	h	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	-
udj	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
udl	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
udm	v	h	v	v	h	v	h	v	v	v	v	h	v	v	v	s	v	h	v	v	borderline	-	borderline	-
udu	h	s	s	h	s	s	s	h	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
ues	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ufi	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uga	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ugb	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
uge	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ugh	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ugn	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
ugo	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ugy	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
uha	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uhn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uig	v	v	v	v	v	v	v	v	tg	v	v	v	v	v	v	v	v	v	v	v	living	-	living	v
uis	s	s	h	s	s	s	s	s	s	s	s	s	tg	s	s	v	s	s	h	h	borderline	-	dead	s
uiv	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
uji	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uka	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ukg	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ukh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uki	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ukk	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ukl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ukp	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ukq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ukr	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	living	tg	living	tg
uks	h	s	s	h	s	s	s	s	h	s	s	h	s	s	s	s	s	s	h	s	dead	-	dead	s
uku	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ukv	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ukw	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uky	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ula	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ulb	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ulc	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
ule	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ulf	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uli	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
ulk	s	h	s	s	s	s	h	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	-
ull	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ulm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uln	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ulu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ulw	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uly	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uma	s	h	s	s	s	s	h	s	s	s	s	h	s	h	h	s	s	s	h	s	dead	-	dead	-
umb	v	v	v	s	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	borderline	-	living	v
umd	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
umg	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
umi	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
umm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
umn	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
umo	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ump	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
umr	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ums	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
umu	s	h	s	s	s	s	h	s	s	s	s	h	s	h	h	s	s	s	h	s	dead	-	dead	-
una	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
une	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ung	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
uni	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
unk	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
unm	s	h	s	s	s	s	h	s	s	s	s	h	s	h	h	s	s	s	h	s	dead	-	dead	-
unn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
unr	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	v	s	borderline	-	dead	s
unu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
unx	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
unz	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uok	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
uon	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
upi	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
upv	h	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
ura	h	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
urb	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
urc	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
urd	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	tg	living	-	living	v
ure	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
urf	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
urg	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
urh	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
uri	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
urk	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
url	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
urm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
