	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20	status	stable	status_best	stable_best
dec	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
ded	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
dee	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
def	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
deg	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
deh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
dei	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
dek	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
del	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
dem	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
den	sh	sh	sh	sh	vtg	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	borderline	-	borderline	-
dep	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
deq	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	sh	dead	sh	dead	sh
